Ticker,Last_Page_Downloaded,Last_Run_Date
NSEI,10,2026-04-08 02:01:57
RELIANCE,10,2026-04-08 02:02:13
TCS,10,2026-04-08 02:02:28
INFY,10,2026-04-08 02:02:44
HDFCBANK,10,2026-04-08 02:03:00
ICICIBANK,10,2026-04-08 02:03:16
SBIN,10,2026-04-08 02:03:31
LT,10,2026-04-08 02:03:47
ITC,10,2026-04-08 02:04:02
KOTAKBANK,10,2026-04-08 02:10:58
AXISBANK,10,2026-04-08 02:11:14
BAJFINANCE,10,2026-04-08 02:11:29
HINDUNILVR,10,2026-04-08 02:11:44
ASIANPAINT,10,2026-04-08 02:12:00
MARUTI,10,2026-04-08 02:12:15
SUNPHARMA,10,2026-04-08 02:12:31
