feature,importance,model
Event_Count_lag_3,0.02607938377789993,RandomForest
Event_Count_lag_2,0.024371508495863458,RandomForest
GOLD_RET_lag_3,0.02328318140295493,RandomForest
NASDAQ_RET_lag_2,0.022717443852374942,RandomForest
NIFTY_RET_lag_3,0.022714786526636516,RandomForest
VIX_RET_lag_3,0.02235393258614173,RandomForest
Avg_Tone,0.02229409761182372,RandomForest
USDINR_RET_lag_1,0.021682333436015697,RandomForest
VIX_RET_lag_2,0.020397216735545606,RandomForest
NIFTY_RET,0.02033083597235938,RandomForest
DOW_RET_lag_1,0.01913762812749372,RandomForest
GOLD_RET_lag_2,0.018598492990994312,RandomForest
VIX_RET,0.01824831507442832,RandomForest
USDINR_RET_lag_3,0.01760546383917443,RandomForest
DOW_RET_lag_3,0.017190497609834418,RandomForest
Avg_Tone_lag_1,0.016882892872082354,RandomForest
SP500_RET_lag_2,0.016785835545961983,RandomForest
SP500_RET,0.01666450285802319,RandomForest
SP500_RET_lag_3,0.016205803800978188,RandomForest
OIL_RET_lag_2,0.016201254845025558,RandomForest
VIX_RET_lag_1,0.016149879467065986,RandomForest
DOW_RET,0.016149685959606846,RandomForest
GOLD_RET_lag_1,0.015773846761563223,RandomForest
NASDAQ_RET_lag_3,0.015693490999989602,RandomForest
OIL_RET_lag_3,0.015680879359826518,RandomForest
Avg_Tone_lag_2,0.01559103370912631,RandomForest
NASDAQ_RET_lag_1,0.01557585261572256,RandomForest
NIFTY_RET_lag_1,0.015098811657105369,RandomForest
DOW_RET_lag_2,0.015041788388603651,RandomForest
Event_Count_lag_1,0.014844950778533423,RandomForest
USDINR_RET_lag_2,0.014608569776176639,RandomForest
SP500_RET_lag_1,0.014535150395475952,RandomForest
OIL_RET_lag_1,0.014529160193344133,RandomForest
Event_Count,0.01437068888267393,RandomForest
USDINR_RET,0.013980542557246565,RandomForest
Avg_Tone_lag_3,0.013071274756218512,RandomForest
NIFTY_RET_lag_2,0.012964053416703565,RandomForest
OIL_RET,0.011706080031944777,RandomForest
GOLD_RET,0.01108672129065865,RandomForest
Inflation_lag_1,0.009094357435160605,RandomForest
War_Flag_lag_3,0.008927815035237312,RandomForest
Inflation_lag_2,0.00887181441265521,RandomForest
Inflation_lag_3,0.008163873384078526,RandomForest
Inflation,0.007487752969440701,RandomForest
Unemployment,0.005407243527408121,RandomForest
Return,0.005342352652628921,RandomForest
ROC,0.004690986753681557,RandomForest
Return_lag_3,0.004576674515361387,RandomForest
GDP_lag_3,0.004564746902302553,RandomForest
Return_lag_1,0.00444171171887971,RandomForest
GDP_lag_2,0.004281720061833857,RandomForest
RSI,0.004267192914380199,RandomForest
Return_lag_2,0.004262180683750099,RandomForest
Log_Return_lag_1,0.004243989447671414,RandomForest
return_roll_mean_5,0.004213734973771904,RandomForest
Volatility_50_lag_1,0.004135622707690243,RandomForest
Unemployment_lag_3,0.004067864716085766,RandomForest
GDP_lag_1,0.003977991709279509,RandomForest
momentum_10,0.00394479215218144,RandomForest
Log_Return_lag_3,0.00392257057372709,RandomForest
Unemployment_lag_1,0.0038595675577457146,RandomForest
ROC_lag_2,0.0037990269830891483,RandomForest
Interest_Rate_lag_3,0.0037487449536172156,RandomForest
return_roll_std_10,0.0037353751377921457,RandomForest
ROC_lag_1,0.0037121941880046178,RandomForest
Log_Return_lag_2,0.003696038861873946,RandomForest
momentum_5,0.0036716501766905166,RandomForest
RSI_lag_1,0.0036575102191491755,RandomForest
ROC_lag_3,0.0036254660872601183,RandomForest
Volatility_50_lag_3,0.0036094884805216217,RandomForest
Volatility_50,0.003498581677812573,RandomForest
Volatility_20_lag_2,0.003494891752739756,RandomForest
momentum_20,0.003478950609685302,RandomForest
RSI_lag_2,0.0034649873895171586,RandomForest
return_roll_mean_10,0.003448537092858068,RandomForest
RSI_lag_3,0.0034104944467855803,RandomForest
return_roll_std_5,0.0033517041069136833,RandomForest
Unemployment_lag_2,0.0033466838877895797,RandomForest
OBV_lag_2,0.003323184596694915,RandomForest
return_roll_mean_20,0.003319395080500232,RandomForest
OBV,0.0032333911400476124,RandomForest
Interest_Rate,0.003094480836131913,RandomForest
Volatility_50_lag_2,0.0030934817457967155,RandomForest
Volatility_20,0.003092652035033212,RandomForest
MACD,0.0030038286117323103,RandomForest
MACD_Signal_lag_2,0.0029883018538264155,RandomForest
return_roll_std_20,0.0029675826031519844,RandomForest
Volatility_20_lag_3,0.0029551531127923057,RandomForest
OBV_lag_1,0.00290776412111592,RandomForest
MACD_lag_1,0.0028545971557683613,RandomForest
Interest_Rate_lag_1,0.002825290173932427,RandomForest
Interest_Rate_lag_2,0.0028153885530342038,RandomForest
MACD_lag_2,0.0027988118884425743,RandomForest
Volatility_20_lag_1,0.0027603498082018393,RandomForest
MACD_Signal_lag_1,0.002592632144738045,RandomForest
OBV_lag_3,0.002584828459160463,RandomForest
volume_roll_mean_5,0.0025699218804836597,RandomForest
MACD_Signal,0.00256370587995416,RandomForest
volume_roll_std_20,0.002550367294836647,RandomForest
Volume_MA_20_lag_3,0.0024921503517170455,RandomForest
regime_persistence,0.002484344923584386,RandomForest
MACD_lag_3,0.002463262640611642,RandomForest
MACD_Signal_lag_3,0.002460040651111385,RandomForest
volume_roll_std_5,0.0024364756346095208,RandomForest
volume_roll_std_10,0.00234209521435717,RandomForest
volume_roll_mean_20,0.0023379853504961797,RandomForest
Volume_MA_20_lag_2,0.0022626438746500208,RandomForest
Volume_MA_20,0.002210957883432575,RandomForest
Volume,0.002209960230264598,RandomForest
Volume_MA_20_lag_1,0.002192247253407398,RandomForest
volume_roll_mean_10,0.002154604225522645,RandomForest
ATR,0.001906190745391257,RandomForest
ATR_lag_2,0.0018650327927178304,RandomForest
ATR_lag_1,0.001863395661413373,RandomForest
BB_upper,0.001800356337088232,RandomForest
Open,0.0017459820087412082,RandomForest
ATR_lag_3,0.0016840919970617292,RandomForest
BB_upper_lag_3,0.0016735699438047492,RandomForest
BB_lower_lag_3,0.001656790931804694,RandomForest
SMA_20_lag_3,0.0016375689345087805,RandomForest
Inflation_Flag,0.001586352325305077,RandomForest
Low,0.0015852351810277687,RandomForest
War_Flag_lag_1,0.0015624868998665032,RandomForest
High,0.0015460522329715269,RandomForest
EMA_20,0.0015459044351323703,RandomForest
SMA_20_lag_1,0.0015341674823349419,RandomForest
BB_lower_lag_1,0.00148213519187729,RandomForest
BB_lower_lag_2,0.0014550786497185663,RandomForest
BB_lower,0.0014513644556208708,RandomForest
EMA_20_lag_2,0.0014462958203983755,RandomForest
BB_upper_lag_1,0.001419720615724935,RandomForest
Close,0.001400339138745996,RandomForest
SMA_20,0.0013994283134422978,RandomForest
Recession_Flag_lag_2,0.0013889164107683091,RandomForest
BB_upper_lag_2,0.0013846678869693504,RandomForest
Inflation_Flag_lag_1,0.0013642496236616522,RandomForest
EMA_20_lag_3,0.0013540503719937395,RandomForest
SMA_20_lag_2,0.0013536070314978917,RandomForest
Rate_Hike_Flag_lag_2,0.0013512477716133575,RandomForest
Rate_Hike_Flag,0.0013328124429852605,RandomForest
EMA_20_lag_1,0.0013214926597999955,RandomForest
Recession_Flag_lag_1,0.001021156546592547,RandomForest
Recession_Flag,0.0010082303684303697,RandomForest
Rate_Hike_Flag_lag_3,0.0009283474270173953,RandomForest
Crisis_Flag_lag_3,0.0008664124702264027,RandomForest
Inflation_Flag_lag_2,0.000813663134196086,RandomForest
War_Flag,0.0006804482314436695,RandomForest
War_Flag_lag_2,0.000679555514247105,RandomForest
Inflation_Flag_lag_3,0.0006352720948876936,RandomForest
volatility_cluster_gmm,0.0005856955846167839,RandomForest
Crisis_Flag,0.0005180419559876375,RandomForest
Recession_Flag_lag_3,0.0004472609298882494,RandomForest
volatility_regime,0.00040401154528339934,RandomForest
Rate_Hike_Flag_lag_1,0.00039284051521301926,RandomForest
Crisis_Flag_lag_2,0.0003679451231885754,RandomForest
regime_lag_2,0.0003377466498833082,RandomForest
volatility_cluster,0.00030199795356129273,RandomForest
vol_cluster_label,0.0002825542515707279,RandomForest
regime_lag_1,0.0002817716307755305,RandomForest
cluster_lag_2,0.00025035841922451627,RandomForest
cluster_lag_1,0.00023415452460835294,RandomForest
Crisis_Flag_lag_1,0.00019847327045402436,RandomForest
regime_change,2.8848539324232506e-05,RandomForest
Inflation_lag_2,0.022022398188710213,XGBoost
Rate_Hike_Flag_lag_1,0.01488505769520998,XGBoost
War_Flag_lag_3,0.013974485918879509,XGBoost
DOW_RET,0.013512905687093735,XGBoost
NIFTY_RET_lag_3,0.011945663951337337,XGBoost
NIFTY_RET,0.011661697179079056,XGBoost
VIX_RET,0.011442434974014759,XGBoost
VIX_RET_lag_2,0.011400032788515091,XGBoost
Inflation_lag_1,0.011074530892074108,XGBoost
Unemployment,0.010830382816493511,XGBoost
War_Flag,0.010820095427334309,XGBoost
NIFTY_RET_lag_1,0.01077964622527361,XGBoost
Inflation_lag_3,0.010632422752678394,XGBoost
NASDAQ_RET_lag_2,0.010447448119521141,XGBoost
Event_Count_lag_2,0.010341431014239788,XGBoost
Event_Count_lag_3,0.010240791365504265,XGBoost
USDINR_RET,0.010154468938708305,XGBoost
GOLD_RET_lag_2,0.009889055974781513,XGBoost
GOLD_RET_lag_3,0.009888079017400742,XGBoost
VIX_RET_lag_3,0.009865937754511833,XGBoost
Avg_Tone_lag_3,0.00977874081581831,XGBoost
Rate_Hike_Flag,0.00974652636796236,XGBoost
Inflation,0.009642203338444233,XGBoost
DOW_RET_lag_3,0.009510503150522709,XGBoost
GOLD_RET_lag_1,0.009476360864937305,XGBoost
OIL_RET_lag_2,0.00901139248162508,XGBoost
Avg_Tone,0.009002244099974632,XGBoost
