Scope,RegimeScope,Model,Horizon,mean_prob,std_prob,mean_abs_distance,p10,p50,p90,n
global,ALL,Transformer,t+1,0.4644565,0.021897443,0.036627073,0.4386798,0.46145034,0.49514052,23808
global,ALL,Transformer,t+3,0.4723717,0.04144156,0.036831334,0.42141327,0.4778028,0.51931787,23520
global,ALL,Transformer,t+5,0.4651982,0.033859167,0.04473585,0.43710542,0.4602009,0.48746487,23328
global,ALL,XGBoost,t+1,0.49219048,0.11782695,0.09283687,0.33969635,0.49532336,0.6375615,23808
global,ALL,XGBoost,t+3,0.48484027,0.13485868,0.109200634,0.30728573,0.4899145,0.65527177,23520
global,ALL,XGBoost,t+5,0.5157657,0.14855598,0.12318474,0.31274697,0.52731925,0.7018108,23328
regime-specific,HIGH,Transformer,t+1,0.5105743,0.03179462,0.026866082,0.46891952,0.51448506,0.54733425,6819
regime-specific,HIGH,Transformer,t+3,0.5013671,0.04889649,0.038455386,0.4368658,0.50494504,0.5582812,6794
regime-specific,HIGH,Transformer,t+5,0.5127267,0.07271263,0.05790133,0.41189036,0.519523,0.596952,6779
regime-specific,HIGH,XGBoost,t+1,0.4822254,0.12938793,0.10494498,0.314478,0.48035476,0.64998925,6819
regime-specific,HIGH,XGBoost,t+3,0.4631838,0.15608372,0.12968202,0.2546021,0.46656,0.666501,6794
regime-specific,HIGH,XGBoost,t+5,0.46144828,0.16507466,0.13834995,0.2405995,0.4643413,0.67876846,6779
regime-specific,LOW,Transformer,t+1,0.44441006,0.037300635,0.06308482,0.41402155,0.43278787,0.4964531,9297
regime-specific,LOW,Transformer,t+3,0.3686961,0.04628173,0.1347031,0.33028027,0.3586367,0.41163698,9105
regime-specific,LOW,Transformer,t+5,0.4031051,0.045664035,0.1020266,0.36013412,0.39628947,0.44568676,8983
regime-specific,LOW,XGBoost,t+1,0.506656,0.12930104,0.10368256,0.33031875,0.515335,0.67062736,9297
regime-specific,LOW,XGBoost,t+3,0.5121804,0.13307859,0.10844573,0.33663693,0.5167971,0.6803731,9105
regime-specific,LOW,XGBoost,t+5,0.53532374,0.16378635,0.13860114,0.3109193,0.5416445,0.7476476,8983
regime-specific,MEDIUM,Transformer,t+1,0.41557226,0.054448873,0.088096485,0.34396106,0.41296858,0.48908326,7692
regime-specific,MEDIUM,Transformer,t+3,0.44895014,0.10054535,0.093394145,0.3313541,0.43807584,0.5824059,7621
regime-specific,MEDIUM,Transformer,t+5,0.4934787,0.04570915,0.03717082,0.4368017,0.49157012,0.55408,7566
regime-specific,MEDIUM,XGBoost,t+1,0.47878733,0.13466334,0.10926443,0.3005765,0.4799214,0.65079534,7692
regime-specific,MEDIUM,XGBoost,t+3,0.48504534,0.151878,0.12415038,0.2834549,0.4860654,0.6889556,7621
regime-specific,MEDIUM,XGBoost,t+5,0.46438456,0.1615598,0.13711531,0.25216618,0.46070218,0.6862557,7566
